sensor_id,building_id,timestamp,voltage,temperature,end_of_life_date
SEN_001,B001,2025-05-05,4.0393,13.36,
SEN_001,B001,2025-05-06,3.983,12.94,
SEN_001,B001,2025-05-07,3.9478,9.26,
SEN_001,B001,2025-05-08,3.9334,5.44,
SEN_001,B001,2025-05-09,3.8616,14.57,
SEN_001,B001,2025-05-10,3.8303,12.04,
SEN_001,B001,2025-05-11,3.7834,11.98,
SEN_001,B001,2025-05-12,3.7778,8.35,
SEN_001,B001,2025-05-13,3.7583,10.81,
SEN_001,B001,2025-05-14,3.6609,11.14,
SEN_001,B001,2025-05-15,3.6541,14.68,
SEN_001,B001,2025-05-16,3.6276,13.18,
SEN_001,B001,2025-05-17,3.564,9.04,
SEN_001,B001,2025-05-18,3.5039,10.49,
SEN_001,B001,2025-05-19,3.5199,10.21,
SEN_001,B001,2025-05-20,3.4302,11.71,
SEN_001,B001,2025-05-21,3.4547,6.33,
SEN_001,B001,2025-05-22,3.3731,10.73,
SEN_001,B001,2025-05-23,3.3215,10.18,
SEN_001,B001,2025-05-24,3.3085,15.27,
SEN_001,B001,2025-05-25,3.2831,15.1,
SEN_001,B001,2025-05-26,3.2533,15.29,
SEN_001,B001,2025-05-27,3.229,13.56,
SEN_001,B001,2025-05-28,3.1884,12.87,
SEN_001,B001,2025-05-29,3.1868,10.3,
SEN_001,B001,2025-05-30,3.1161,8.28,
SEN_001,B001,2025-05-31,3.0918,11.04,
SEN_001,B001,2025-06-01,3.0582,14.71,
SEN_001,B001,2025-06-02,2.9887,15.49,
SEN_001,B001,2025-06-03,2.9671,16.03,
SEN_001,B001,2025-06-04,2.961,10.8,
SEN_001,B001,2025-06-05,2.9382,17.46,
SEN_001,B001,2025-06-06,2.8588,17.7,
SEN_001,B001,2025-06-07,2.9069,11.92,
SEN_001,B001,2025-06-08,2.85,12.86,
SEN_001,B001,2025-06-09,2.8101,13.94,
SEN_001,B001,2025-06-10,2.7907,14.1,
SEN_001,B001,2025-06-11,2.7418,16.41,
SEN_001,B001,2025-06-12,2.7277,12.85,
SEN_001,B001,2025-06-13,2.7027,12.36,
SEN_001,B001,2025-06-14,2.6933,23.88,
SEN_001,B001,2025-06-15,2.6371,18.16,
